Region,SARIMA,TES,LR,LightGBM,Prophet
Afghanistan,21.541,13.743,9.663,28.317,17.973
Albania,3.344,1.44,11.083,6.704,10.433
Algeria,2.931,0.767,36.686,9.627,23.695
Andorra,4.789,6.254,0.949,9.116,13.781
Angola,0.0,2.381,300.0,0.0,0.0
Antigua and Barbuda,0.0,30.631,0.0,0.0,inf
Argentina,12.385,7.536,5.483,22.818,7.415
Armenia,19.402,6.354,4.053,22.286,7.649
"Australian Capital Territory, Australia",0.0,19.841,0.0,0.0,24.206
"New South Wales, Australia",17.468,11.816,16.438,17.468,8.495
"Queensland, Australia",0.0,21.429,0.0,0.0,15.476
"South Australia, Australia",0.0,0.0,0.0,0.0,inf
"Tasmania, Australia",16.865,5.111,10.367,20.515,9.675
"Victoria, Australia",10.199,4.314,8.347,10.199,24.303
"Western Australia, Australia",8.499,6.137,6.911,8.499,29.167
Austria,3.509,3.379,8.968,11.944,12.726
Azerbaijan,17.242,20.697,2.386,12.844,5.668
Bahamas,4.545,7.888,4.377,9.091,43.112
Bahrain,6.898,5.86,25.892,6.898,16.781
Bangladesh,10.682,7.077,115.044,25.42,26.413
Barbados,13.553,4.396,13.553,13.553,inf
Belarus,12.968,7.724,1.347,25.987,14.698
Belgium,5.194,10.308,11.892,13.914,13.045
Belize,0.0,19.737,0.0,0.0,inf
Benin,17.105,17.105,17.105,17.105,31.579
Bolivia,24.205,18.634,7.052,28.089,16.468
Bosnia and Herzegovina,14.921,6.414,3.525,18.633,7.799
Botswana,0.0,0.0,300.0,0.0,0.0
Brazil,23.456,19.812,5.378,31.555,26.734
Brunei,0.0,0.0,0.0,0.0,0.0
Bulgaria,18.595,6.605,3.952,20.965,5.828
Burkina Faso,7.942,8.192,1.753,10.635,10.955
Burma,5.952,19.762,107.778,5.952,35.675
Burundi,0.0,0.0,0.0,0.0,67.742
Cabo Verde,14.286,14.286,300.0,14.286,14.286
Cameroon,16.367,30.842,8.881,20.255,33.755
"Alberta, Canada",21.881,18.752,88.545,24.002,4.979
"British Columbia, Canada",7.931,1.755,3.63,15.026,7.515
"Manitoba, Canada",12.075,9.127,11.395,12.075,18.197
"Newfoundland and Labrador, Canada",0.0,18.254,0.0,0.0,53.968
"Nova Scotia, Canada",33.917,5.771,29.599,41.176,inf
"Ontario, Canada",22.213,7.325,5.335,27.851,22.113
"Prince Edward Island, Canada",0.0,0.0,0.0,0.0,100.0
"Quebec, Canada",12.187,8.566,19.676,31.353,33.93
"Saskatchewan, Canada",16.032,8.815,9.853,16.032,9.07
Chad,100.0,100.0,100.0,100.0,100.0
Chile,3.355,0.95,2.41,23.221,9.755
"Anhui, China",0.0,0.0,0.0,0.0,0.0
"Beijing, China",4.762,3.439,4.762,4.762,4.762
"Chongqing, China",0.0,0.0,0.0,0.0,0.0
"Fujian, China",0.0,0.0,0.0,0.0,0.0
"Gansu, China",0.0,2.381,0.0,0.0,0.0
"Guangdong, China",0.0,0.0,0.0,0.0,0.0
"Guangxi, China",0.0,2.381,0.0,0.0,0.0
"Guizhou, China",0.0,2.381,0.0,0.0,0.0
"Hainan, China",0.0,0.0,0.0,0.0,0.0
"Hebei, China",0.0,0.0,0.0,0.0,0.0
"Heilongjiang, China",0.0,0.0,16.667,0.0,0.0
"Henan, China",0.0,0.0,0.0,0.0,0.0
"Hong Kong, China",0.0,7.738,0.0,0.0,0.0
"Hubei, China",0.0,20.218,1.111,0.0,7.098
"Hunan, China",0.0,0.0,0.0,0.0,0.0
"Inner Mongolia, China",0.0,0.0,0.0,0.0,0.0
"Jiangxi, China",0.0,0.0,0.0,0.0,0.0
"Jilin, China",0.0,0.0,0.0,0.0,0.0
"Liaoning, China",0.0,2.381,0.0,0.0,0.0
"Shaanxi, China",0.0,7.937,0.0,0.0,0.0
"Shandong, China",0.0,0.0,0.0,0.0,0.0
"Shanghai, China",0.0,8.163,1.701,0.0,10.204
"Sichuan, China",0.0,7.937,0.0,0.0,0.0
"Tianjin, China",0.0,0.0,0.0,0.0,0.0
"Xinjiang, China",0.0,7.937,0.0,0.0,0.0
"Yunnan, China",0.0,2.381,0.0,0.0,0.0
"Zhejiang, China",0.0,0.0,0.0,0.0,0.0
Colombia,6.228,3.164,23.947,23.105,10.989
Congo (Brazzaville),14.278,5.894,110.116,14.278,14.948
Congo (Kinshasa),7.57,5.311,118.9,12.15,4.292
Costa Rica,10.87,8.404,5.584,10.87,6.769
Cote d'Ivoire,21.095,4.564,68.719,24.462,17.569
Croatia,9.104,17.528,11.277,17.387,6.95
Cuba,7.375,2.525,5.395,23.873,13.834
Cyprus,10.063,1.929,2.078,10.063,5.118
Czechia,1.503,3.569,2.613,12.82,15.425
Denmark,1.27,2.843,1.079,12.69,9.829
Diamond Princess,3.663,8.059,0.0,0.0,5.628
Djibouti,7.843,16.176,258.824,7.843,inf
Dominican Republic,3.418,4.419,55.842,16.007,7.308
Ecuador,21.99,17.418,8.768,28.452,18.955
Egypt,1.718,2.568,4.835,21.343,7.998
El Salvador,13.619,9.758,8.238,18.995,14.015
Equatorial Guinea,100.0,100.0,100.0,100.0,100.0
Estonia,9.062,8.812,1.487,12.821,14.052
Eswatini,14.286,14.286,300.0,14.286,1.786
Ethiopia,7.692,3.419,37.778,7.692,inf
Finland,13.829,12.033,13.2,30.795,21.936
"French Guiana, France",100.0,100.0,100.0,100.0,100.0
"Guadeloupe, France",19.231,17.567,15.629,19.231,12.538
"Martinique, France",12.443,18.226,6.633,7.823,12.174
"Mayotte, France",14.923,15.232,21.162,14.923,15.772
"St Martin, France",15.873,14.286,6.349,15.873,3.968
France,1.254,6.811,4.376,10.449,16.507
Gabon,38.333,38.333,16.257,38.333,38.333
Gambia,0.0,0.0,104.762,0.0,0.0
Georgia,18.132,10.866,5.695,24.705,inf
Germany,9.125,3.908,7.225,16.788,5.677
Ghana,18.647,12.692,300.0,21.115,14.386
Greece,1.439,2.642,8.078,10.642,8.526
Guatemala,30.431,18.038,89.414,30.431,22.024
Guinea,60.572,108.875,41.578,29.805,inf
Guinea-Bissau,100.0,100.0,100.0,100.0,100.0
Guyana,10.265,3.675,35.917,10.265,7.432
Haiti,35.455,37.995,27.898,35.455,19.451
Honduras,14.427,4.927,2.699,20.582,16.425
Hungary,7.899,10.455,12.129,22.215,12.044
Iceland,5.714,16.429,2.143,5.714,27.708
India,14.288,11.72,13.936,29.38,21.238
Indonesia,2.833,8.317,22.226,15.567,6.472
Iran,0.442,1.152,1.079,8.741,6.215
Iraq,7.723,1.496,8.518,7.723,8.589
Ireland,6.46,5.149,8.691,26.593,15.69
Israel,12.018,16.909,3.031,12.465,12.184
Italy,1.501,2.268,4.102,8.883,6.002
Jamaica,19.591,10.308,100.376,19.591,6.43
Japan,2.81,4.406,10.834,25.692,24.022
Jordan,7.54,2.986,2.003,7.54,9.528
Kazakhstan,19.456,2.331,10.901,19.456,9.292
Kenya,9.165,9.742,10.283,15.759,11.17
"Korea, South",1.498,3.054,2.592,3.421,9.926
Kosovo,26.731,10.283,8.022,26.731,18.612
Kuwait,40.499,24.975,14.232,42.936,inf
Kyrgyzstan,26.388,16.839,7.532,26.388,inf
Latvia,36.784,36.784,24.923,36.784,23.185
Lebanon,7.441,5.923,3.623,7.441,6.217
Liberia,20.068,11.394,219.963,25.154,inf
Libya,30.556,30.556,9.921,30.556,25.794
Liechtenstein,0.0,0.0,10.0,0.0,47.5
Lithuania,4.707,10.174,71.05,12.163,15.331
Luxembourg,8.659,2.042,2.841,11.44,16.559
MS Zaandam,0.0,2.381,0.0,0.0,0.0
Malawi,19.82,5.405,19.82,19.82,inf
Malaysia,1.955,3.546,0.881,7.149,10.773
Maldives,100.0,100.0,100.0,100.0,100.0
Mali,23.727,12.35,21.452,25.506,11.248
Malta,17.222,13.981,11.62,17.222,inf
Mauritania,1.19,1.19,1.19,1.19,1.19
Mauritius,4.048,7.487,1.905,4.048,12.827
Mexico,21.577,20.31,11.926,41.817,37.822
Moldova,8.382,4.896,5.396,23.228,12.646
Monaco,12.5,6.548,12.5,12.5,25.794
Montenegro,10.454,3.617,11.111,16.251,9.82
Morocco,3.585,4.286,86.864,9.674,20.514
"Aruba, Netherlands",8.046,60.92,0.0,8.046,inf
"Curacao, Netherlands",0.0,0.0,0.0,0.0,0.0
"Sint Maarten, Netherlands",9.107,4.997,108.467,13.041,24.612
Netherlands,2.293,3.262,13.255,13.055,7.284
New Zealand,10.183,6.664,17.368,20.19,40.61
Nicaragua,24.365,23.77,19.861,24.365,31.905
Niger,10.401,2.769,10.53,21.439,15.416
Nigeria,21.573,17.87,75.396,34.708,36.315
North Macedonia,11.728,2.355,10.346,17.391,7.229
Norway,3.777,3.344,5.29,11.744,16.243
Oman,3.156,4.283,18.459,21.928,15.316
Pakistan,13.015,10.087,12.921,30.663,27.955
Panama,5.392,1.212,2.792,20.092,4.925
Paraguay,8.956,6.729,21.421,8.956,21.133
Peru,10.162,6.204,11.841,33.224,31.616
Philippines,9.514,1.504,1.683,16.258,7.471
Poland,10.931,6.34,16.615,23.265,6.099
Portugal,2.364,3.681,3.124,15.274,5.468
Qatar,9.117,2.853,114.989,16.161,9.014
Romania,6.02,3.228,2.563,21.1,4.709
Russia,11.817,9.94,68.104,35.277,44.551
San Marino,0.993,7.679,51.622,2.388,8.98
Sao Tome and Principe,100.0,100.0,100.0,100.0,100.0
Saudi Arabia,13.471,5.818,210.612,23.651,11.271
Senegal,33.727,33.053,29.733,38.569,36.391
Serbia,1.483,4.684,15.294,17.214,2.725
Sierra Leone,100.0,100.0,100.0,100.0,100.0
Singapore,16.278,4.011,222.078,16.278,5.443
Slovakia,16.628,17.055,24.865,23.791,44.262
Slovenia,13.163,20.049,2.15,10.295,15.61
Somalia,40.784,28.874,124.481,45.9,inf
South Africa,27.23,11.99,4.282,28.623,22.95
Spain,2.119,1.267,14.064,9.22,10.526
Sri Lanka,5.06,5.06,31.496,5.06,24.183
Sudan,36.303,20.397,300.0,36.303,52.135
Suriname,0.0,0.0,0.0,0.0,inf
Sweden,19.487,14.692,6.435,22.004,6.398
Switzerland,1.909,4.074,2.381,10.41,12.518
Syria,18.254,17.46,39.683,0.0,19.841
Taiwan*,1.02,6.236,32.596,1.02,7.766
Tanzania,14.664,6.801,212.748,28.006,34.443
Thailand,4.306,3.124,1.914,6.5,25.532
Togo,20.293,8.011,15.701,20.293,17.873
Trinidad and Tobago,0.0,0.0,0.0,0.0,23.393
Tunisia,2.556,12.219,11.538,4.479,24.733
Turkey,5.742,6.549,5.369,19.866,4.962
"Alabama, US",4.473,3.716,7.869,23.819,11.147
"Alaska, US",1.905,13.095,11.878,1.905,36.004
"Arizona, US",7.119,8.706,6.777,25.266,12.173
"Arkansas, US",14.1,12.337,9.84,21.631,8.01
"California, US",10.526,5.483,7.705,23.363,11.847
"Colorado, US",11.082,8.088,17.435,25.049,10.621
"Connecticut, US",23.479,10.281,13.521,27.716,19.108
"Delaware, US",26.269,14.252,14.273,30.088,25.545
"District of Columbia, US",20.208,13.8,7.768,30.288,24.89
"Florida, US",6.366,2.212,6.448,22.022,6.622
"Georgia, US",17.085,4.089,3.679,21.652,5.008
"Guam, US",0.0,15.238,0.0,0.0,19.524
"Hawaii, US",13.361,4.825,9.981,18.714,12.277
"Idaho, US",13.487,7.828,3.022,15.287,15.33
"Illinois, US",6.298,3.108,1.921,25.169,13.912
"Indiana, US",20.663,15.038,9.582,25.038,11.322
"Iowa, US",12.337,8.527,72.706,28.662,21.471
"Kansas, US",1.309,3.454,33.445,19.006,6.072
"Kentucky, US",2.197,2.62,97.311,22.005,4.259
"Louisiana, US",10.44,1.62,8.427,17.9,4.25
"Maine, US",11.139,7.107,7.388,20.115,8.771
"Maryland, US",16.673,11.733,15.422,32.672,29.953
"Massachusetts, US",1.041,7.355,5.622,27.855,27.056
"Michigan, US",3.524,1.895,9.103,19.857,4.346
"Minnesota, US",16.031,11.539,37.687,33.06,31.172
"Mississippi, US",7.139,4.564,12.827,24.183,10.443
"Missouri, US",12.743,5.811,11.026,24.185,7.77
"Montana, US",18.665,5.724,10.938,18.665,20.642
"Nebraska, US",17.549,13.806,300.0,31.354,23.189
"Nevada, US",4.687,1.415,2.464,19.001,3.804
"New Hampshire, US",26.648,12.799,9.894,27.375,13.687
"New Jersey, US",4.732,4.105,2.007,21.386,8.041
"New Mexico, US",9.061,4.005,12.873,30.152,31.074
"New York, US",8.376,20.076,10.225,12.754,13.927
"North Carolina, US",18.437,6.672,7.632,27.429,20.383
"North Dakota, US",32.268,24.498,300.0,32.268,23.217
"Ohio, US",19.663,10.538,195.58,27.354,16.127
"Oklahoma, US",17.975,5.008,8.946,20.466,3.079
"Oregon, US",5.625,5.459,4.888,15.702,6.405
"Pennsylvania, US",16.255,29.909,5.723,26.809,26.249
"Puerto Rico, US",14.595,2.881,74.9,17.204,7.135
"Rhode Island, US",5.533,14.223,37.398,25.54,25.619
"South Carolina, US",14.935,13.55,6.94,25.794,12.314
"South Dakota, US",30.989,25.005,7.977,30.989,25.787
"Tennessee, US",3.751,0.915,41.397,15.288,10.293
"Texas, US",13.486,6.444,1.128,21.384,6.444
"Utah, US",12.779,6.383,13.269,23.985,17.253
"Vermont, US",9.997,7.865,3.013,12.062,5.561
"Virgin Islands, US",13.205,23.462,4.701,13.205,15.598
"Virginia, US",9.059,5.141,2.98,27.939,23.099
"Washington, US",0.632,3.842,26.673,12.186,7.969
"West Virginia, US",12.034,4.447,38.681,31.324,33.689
"Wisconsin, US",5.844,0.709,9.51,17.366,6.842
"Wyoming, US",50.538,26.037,45.469,50.538,inf
Ukraine,8.068,6.723,21.868,25.757,14.387
United Arab Emirates,25.17,19.288,18.587,32.641,30.678
"Bermuda, United Kingdom",11.92,3.919,26.347,11.92,inf
"British Virgin Islands, United Kingdom",0.0,96.0,292.0,0.0,92.0
"Cayman Islands, United Kingdom",0.0,0.0,0.0,0.0,0.0
"Channel Islands, United Kingdom",22.748,6.32,11.753,23.896,14.536
"Isle of Man, United Kingdom",23.733,13.726,33.475,38.828,52.864
"Montserrat, United Kingdom",100.0,100.0,100.0,100.0,100.0
"Turks and Caicos Islands, United Kingdom",0.0,0.0,0.0,0.0,58.974
United Kingdom,16.99,14.48,16.799,29.156,10.471
Uruguay,13.581,4.771,11.223,20.574,6.793
Uzbekistan,18.174,12.181,7.849,23.658,12.419
Venezuela,6.28,3.988,300.0,6.28,21.765
West Bank and Gaza,29.762,58.333,102.381,29.762,44.048
Zambia,8.588,15.164,116.695,8.588,8.759
Zimbabwe,13.095,4.167,30.556,13.095,27.579
