date,state,cured,deaths,confirmed
2020-01-30,Kerala,0,0,1
2020-01-31,Kerala,0,0,0
2020-02-01,Kerala,0,0,1
2020-02-02,Kerala,0,0,1
2020-02-03,Kerala,0,0,0
2020-02-04,Kerala,0,0,0
2020-02-05,Kerala,0,0,0
2020-02-06,Kerala,0,0,0
2020-02-07,Kerala,0,0,0
2020-02-08,Kerala,0,0,0
2020-02-09,Kerala,0,0,0
2020-02-10,Kerala,0,0,0
2020-02-11,Kerala,0,0,0
2020-02-12,Kerala,0,0,0
2020-02-13,Kerala,0,0,0
2020-02-14,Kerala,0,0,0
2020-02-15,Kerala,0,0,0
2020-02-16,Kerala,0,0,0
2020-02-17,Kerala,0,0,0
2020-02-18,Kerala,0,0,0
2020-02-19,Kerala,0,0,0
2020-02-20,Kerala,0,0,0
2020-02-21,Kerala,0,0,0
2020-02-22,Kerala,0,0,0
2020-02-23,Kerala,0,0,0
2020-02-24,Kerala,0,0,0
2020-02-25,Kerala,0,0,0
2020-02-26,Kerala,0,0,0
2020-02-27,Kerala,0,0,0
2020-02-28,Kerala,0,0,0
2020-02-29,Kerala,0,0,0
2020-03-01,Kerala,0,0,0
2020-03-02,Kerala,0,0,0
2020-03-03,Kerala,3,0,0
2020-03-04,Kerala,0,0,0
2020-03-05,Kerala,0,0,0
2020-03-06,Kerala,0,0,0
2020-03-07,Kerala,0,0,0
2020-03-08,Kerala,0,0,5
2020-03-09,Kerala,0,0,1
2020-03-10,Kerala,0,0,6
2020-03-11,Kerala,0,0,2
2020-03-12,Kerala,0,0,0
2020-03-13,Kerala,0,0,2
2020-03-14,Kerala,0,0,0
2020-03-15,Kerala,0,0,3
2020-03-16,Kerala,0,0,1
2020-03-17,Kerala,0,0,3
2020-03-18,Kerala,0,0,1
2020-03-19,Kerala,0,0,0
2020-03-20,Kerala,0,0,1
2020-03-21,Kerala,0,0,12
2020-03-22,Kerala,0,0,12
2020-03-23,Kerala,0,0,15
2020-03-24,Kerala,1,0,28
2020-03-25,Kerala,0,0,14
2020-03-26,Kerala,2,0,9
2020-03-27,Kerala,5,0,19
2020-03-28,Kerala,0,0,39
2020-03-29,Kerala,4,1,6
2020-03-30,Kerala,4,0,20
2020-03-31,Kerala,0,0,32
2020-04-01,Kerala,4,1,7
2020-04-02,Kerala,2,0,24
2020-04-03,Kerala,2,0,21
2020-04-04,Kerala,14,0,9
2020-04-05,Kerala,8,0,11
2020-04-06,Kerala,6,0,8
2020-04-07,Kerala,3,0,13
2020-04-08,Kerala,12,0,9
2020-04-09,Kerala,13,0,9
2020-04-10,Kerala,13,0,12
2020-04-11,Kerala,27,0,7
2020-04-12,Kerala,19,0,10
2020-04-13,Kerala,37,1,2
2020-04-14,Kerala,19,0,3
2020-04-15,Kerala,13,0,8
2020-04-16,Kerala,7,0,1
2020-04-17,Kerala,27,0,7
2020-04-18,Kerala,10,0,1
2020-04-19,Kerala,2,0,4
2020-04-20,Kerala,13,0,2
2020-04-21,Kerala,21,0,6
2020-04-22,Kerala,32,0,19
2020-04-23,Kerala,1,0,11
2020-04-24,Kerala,0,0,10
2020-04-25,Kerala,7,1,3
2020-04-26,Kerala,7,0,7
2020-04-27,Kerala,4,0,11
2020-04-28,Kerala,13,0,13
2020-04-29,Kerala,4,0,4
2020-04-30,Kerala,10,0,10
2020-05-01,Kerala,14,0,1
2020-05-02,Kerala,9,0,0
2020-05-03,Kerala,8,0,3
2020-05-04,Kerala,1,0,0
2020-05-05,Kerala,61,0,0
2020-05-06,Kerala,0,0,2
2020-05-07,Kerala,7,0,1
2020-05-08,Kerala,5,0,0
2020-05-09,Kerala,10,0,0
2020-05-10,Kerala,1,0,2
2020-05-11,Kerala,4,0,7
2020-05-12,Kerala,0,0,7
2020-05-13,Kerala,0,0,5
2020-05-14,Kerala,1,0,10
2020-05-15,Kerala,1,0,26
2020-05-16,Kerala,1,0,16
2020-05-17,Kerala,3,0,11
2020-05-18,Kerala,2,0,14
2020-05-19,Kerala,0,0,29
2020-03-02,Telengana,0,0,1
2020-03-03,Telengana,0,0,0
2020-03-04,Telengana,0,0,0
2020-03-05,Telengana,0,0,0
2020-03-06,Telengana,0,0,0
2020-03-07,Telengana,0,0,0
2020-03-08,Telengana,0,0,0
2020-03-09,Telengana,0,0,0
2020-03-10,Telengana,0,0,0
2020-03-11,Telengana,0,0,0
2020-03-12,Telengana,0,0,0
2020-03-13,Telengana,0,0,0
2020-03-14,Telengana,0,0,0
2020-03-15,Telengana,1,0,2
2020-03-16,Telengana,0,0,0
2020-03-17,Telengana,0,0,2
2020-03-18,Telengana,0,0,1
2020-03-19,Telengana,0,0,0
2020-03-20,Telengana,0,0,11
2020-03-21,Telengana,0,0,4
2020-03-22,Telengana,0,0,1
2020-03-23,Telengana,0,0,10
2020-03-24,Telengana,0,0,3
2020-03-25,Telengana,0,0,0
2020-03-26,Telengana,0,0,9
2020-03-27,Telengana,0,0,1
2020-03-28,Telengana,0,0,11
2020-03-29,Telengana,0,1,10
2020-03-30,Telengana,0,0,5
2020-03-31,Telengana,0,0,8
2020-04-01,Telengana,0,2,17
2020-04-02,Telengana,0,0,11
2020-04-03,Telengana,0,4,51
2020-04-04,Telengana,0,0,1
2020-04-05,Telengana,31,0,110
2020-04-06,Telengana,2,0,52
2020-04-07,Telengana,1,0,43
2020-04-08,Telengana,0,0,63
2020-04-09,Telengana,0,0,15
2020-04-10,Telengana,0,0,31
2020-04-11,Telengana,8,2,31
2020-04-12,Telengana,0,0,0
2020-04-13,Telengana,57,7,58
2020-04-14,Telengana,0,1,62
2020-04-15,Telengana,20,1,23
2020-04-16,Telengana,0,0,51
2020-04-17,Telengana,66,0,45
2020-04-18,Telengana,0,0,48
2020-04-19,Telengana,0,0,53
2020-04-20,Telengana,4,3,29
2020-04-21,Telengana,0,2,46
2020-04-22,Telengana,4,0,26
2020-04-23,Telengana,3,1,15
2020-04-24,Telengana,56,2,24
2020-04-25,Telengana,0,0,0
2020-04-26,Telengana,27,0,7
2020-04-27,Telengana,0,0,11
2020-04-28,Telengana,41,0,2
2020-04-29,Telengana,46,0,8
2020-04-30,Telengana,0,0,0
2020-05-01,Telengana,74,0,27
2020-05-02,Telengana,0,0,0
2020-05-03,Telengana,17,2,24
2020-05-04,Telengana,32,1,19
2020-05-05,Telengana,95,0,3
2020-05-06,Telengana,0,0,11
2020-05-07,Telengana,43,0,11
2020-05-08,Telengana,22,0,16
2020-05-09,Telengana,50,0,10
2020-05-10,Telengana,50,1,30
2020-05-11,Telengana,0,0,33
2020-05-12,Telengana,50,0,79
2020-05-13,Telengana,30,2,51
2020-05-14,Telengana,110,2,41
2020-05-15,Telengana,10,0,47
2020-05-16,Telengana,9,0,40
2020-05-17,Telengana,12,0,55
2020-05-18,Telengana,21,0,42
2020-05-19,Telengana,8,1,46
2020-03-02,Delhi,0,0,1
2020-03-03,Delhi,0,0,0
2020-03-04,Delhi,0,0,0
2020-03-05,Delhi,0,0,1
2020-03-06,Delhi,0,0,1
2020-03-07,Delhi,0,0,0
2020-03-08,Delhi,0,0,0
2020-03-09,Delhi,0,0,1
2020-03-10,Delhi,0,0,0
2020-03-11,Delhi,0,0,1
2020-03-12,Delhi,0,0,1
2020-03-13,Delhi,0,0,0
2020-03-14,Delhi,1,1,1
2020-03-15,Delhi,1,0,0
2020-03-16,Delhi,0,0,0
2020-03-17,Delhi,0,0,1
2020-03-18,Delhi,0,0,2
2020-03-19,Delhi,1,0,2
2020-03-20,Delhi,2,0,5
2020-03-21,Delhi,0,0,9
2020-03-22,Delhi,0,0,3
2020-03-23,Delhi,0,0,0
2020-03-24,Delhi,1,0,1
2020-03-25,Delhi,0,0,1
2020-03-26,Delhi,0,0,5
2020-03-27,Delhi,0,0,0
2020-03-28,Delhi,0,0,3
2020-03-29,Delhi,0,1,10
2020-03-30,Delhi,0,0,38
2020-03-31,Delhi,0,0,10
2020-04-01,Delhi,0,0,55
2020-04-02,Delhi,2,2,67
2020-04-03,Delhi,0,0,0
2020-04-04,Delhi,7,2,226
2020-04-05,Delhi,3,1,58
2020-04-06,Delhi,1,0,20
2020-04-07,Delhi,2,0,53
2020-04-08,Delhi,0,2,0
2020-04-09,Delhi,0,0,93
2020-04-10,Delhi,4,4,229
2020-04-11,Delhi,0,1,5
2020-04-12,Delhi,0,5,166
2020-04-13,Delhi,2,5,85
2020-04-14,Delhi,3,4,356
2020-04-15,Delhi,0,2,51
2020-04-16,Delhi,12,2,17
2020-04-17,Delhi,9,6,62
2020-04-18,Delhi,21,4,67
2020-04-19,Delhi,0,1,186
2020-04-20,Delhi,218,2,110
2020-04-21,Delhi,141,2,78
2020-04-22,Delhi,180,0,75
2020-04-23,Delhi,113,1,92
2020-04-24,Delhi,84,2,128
2020-04-25,Delhi,49,3,138
2020-04-26,Delhi,12,1,111
2020-04-27,Delhi,8,0,293
2020-04-28,Delhi,0,0,190
2020-04-29,Delhi,201,0,206
2020-04-30,Delhi,14,2,125
2020-05-01,Delhi,2,3,76
2020-05-02,Delhi,73,2,223
2020-05-03,Delhi,89,3,384
2020-05-04,Delhi,106,0,427
2020-05-05,Delhi,69,0,349
2020-05-06,Delhi,37,0,206
2020-05-07,Delhi,74,1,428
2020-05-08,Delhi,389,1,448
2020-05-09,Delhi,89,2,338
2020-05-10,Delhi,0,5,224
2020-05-11,Delhi,49,0,381
2020-05-12,Delhi,60,0,310
2020-05-13,Delhi,383,13,406
2020-05-14,Delhi,346,20,359
2020-05-15,Delhi,187,9,472
2020-05-16,Delhi,473,8,425
2020-05-17,Delhi,408,6,438
2020-05-18,Delhi,559,31,721
2020-05-19,Delhi,0,8,0
2020-03-03,Rajasthan,0,0,1
2020-03-04,Rajasthan,0,0,14
2020-03-05,Rajasthan,0,0,0
2020-03-06,Rajasthan,0,0,0
2020-03-07,Rajasthan,0,0,0
2020-03-08,Rajasthan,0,0,0
2020-03-09,Rajasthan,0,0,0
2020-03-10,Rajasthan,0,0,0
2020-03-11,Rajasthan,0,0,0
2020-03-12,Rajasthan,0,0,0
2020-03-13,Rajasthan,0,0,0
2020-03-14,Rajasthan,1,0,0
2020-03-15,Rajasthan,2,0,1
2020-03-16,Rajasthan,0,0,0
2020-03-17,Rajasthan,0,0,0
2020-03-18,Rajasthan,0,0,0
2020-03-19,Rajasthan,0,0,3
2020-03-20,Rajasthan,0,0,10
2020-03-21,Rajasthan,0,0,0
2020-03-22,Rajasthan,0,0,7
2020-03-23,Rajasthan,0,0,4
2020-03-24,Rajasthan,0,0,4
2020-03-25,Rajasthan,0,0,4
2020-03-26,Rajasthan,0,0,5
2020-03-27,Rajasthan,0,0,0
2020-03-28,Rajasthan,0,0,13
2020-03-29,Rajasthan,0,0,1
2020-03-30,Rajasthan,0,0,4
2020-03-31,Rajasthan,0,0,15
2020-04-01,Rajasthan,0,0,19
2020-04-02,Rajasthan,0,0,15
2020-04-03,Rajasthan,0,0,59
2020-04-04,Rajasthan,18,0,33
2020-04-05,Rajasthan,0,0,0
2020-04-06,Rajasthan,0,0,74
2020-04-07,Rajasthan,0,3,14
2020-04-08,Rajasthan,0,0,40
2020-04-09,Rajasthan,0,0,55
2020-04-10,Rajasthan,0,0,80
2020-04-11,Rajasthan,0,0,90
2020-04-12,Rajasthan,0,0,147
2020-04-13,Rajasthan,0,0,112
2020-04-14,Rajasthan,112,0,67
2020-04-15,Rajasthan,14,0,126
2020-04-16,Rajasthan,0,0,18
2020-04-17,Rajasthan,17,8,108
2020-04-18,Rajasthan,19,0,98
2020-04-19,Rajasthan,0,0,122
2020-04-20,Rajasthan,0,3,127
2020-04-21,Rajasthan,22,11,98
2020-04-22,Rajasthan,25,0,225
2020-04-23,Rajasthan,0,2,89
2020-04-24,Rajasthan,0,0,74
2020-04-25,Rajasthan,0,0,70
2020-04-26,Rajasthan,263,6,49
2020-04-27,Rajasthan,25,8,102
2020-04-28,Rajasthan,151,5,77
2020-04-29,Rajasthan,99,5,102
2020-04-30,Rajasthan,0,0,74
2020-05-01,Rajasthan,68,7,146
2020-05-02,Rajasthan,280,4,82
2020-05-03,Rajasthan,5,3,106
2020-05-04,Rajasthan,235,6,114
2020-05-05,Rajasthan,38,6,175
2020-05-06,Rajasthan,131,12,97
2020-05-07,Rajasthan,71,3,159
2020-05-08,Rajasthan,0,5,110
2020-05-09,Rajasthan,320,4,152
2020-05-10,Rajasthan,110,5,129
2020-05-11,Rajasthan,150,1,106
2020-05-12,Rajasthan,88,6,174
2020-05-13,Rajasthan,114,4,138
2020-05-14,Rajasthan,81,4,202
2020-05-15,Rajasthan,121,4,206
2020-05-16,Rajasthan,97,0,193
2020-05-17,Rajasthan,162,1,233
2020-05-18,Rajasthan,153,5,242
2020-05-19,Rajasthan,226,7,305
2020-03-04,Uttar Pradesh,0,0,6
2020-03-05,Uttar Pradesh,0,0,1
2020-03-06,Uttar Pradesh,0,0,0
2020-03-07,Uttar Pradesh,0,0,0
2020-03-08,Uttar Pradesh,0,0,0
2020-03-09,Uttar Pradesh,0,0,0
2020-03-10,Uttar Pradesh,0,0,0
2020-03-11,Uttar Pradesh,0,0,2
2020-03-12,Uttar Pradesh,0,0,2
2020-03-13,Uttar Pradesh,0,0,0
2020-03-14,Uttar Pradesh,5,0,1
2020-03-15,Uttar Pradesh,0,0,1
2020-03-16,Uttar Pradesh,0,0,0
2020-03-17,Uttar Pradesh,1,0,2
2020-03-18,Uttar Pradesh,0,0,1
2020-03-19,Uttar Pradesh,4,0,3
2020-03-20,Uttar Pradesh,0,0,4
2020-03-21,Uttar Pradesh,0,0,1
2020-03-22,Uttar Pradesh,0,0,3
2020-03-23,Uttar Pradesh,0,0,4
2020-03-24,Uttar Pradesh,2,0,2
2020-03-25,Uttar Pradesh,0,0,4
2020-03-26,Uttar Pradesh,0,0,4
2020-03-27,Uttar Pradesh,0,0,0
2020-03-28,Uttar Pradesh,0,0,14
2020-03-29,Uttar Pradesh,0,0,10
2020-03-30,Uttar Pradesh,0,0,17
2020-03-31,Uttar Pradesh,3,0,19
2020-04-01,Uttar Pradesh,0,2,2
2020-04-02,Uttar Pradesh,0,0,10
2020-04-03,Uttar Pradesh,0,0,59
2020-04-04,Uttar Pradesh,5,0,2
2020-04-05,Uttar Pradesh,0,0,53
2020-04-06,Uttar Pradesh,2,1,78
2020-04-07,Uttar Pradesh,0,0,0
2020-04-08,Uttar Pradesh,5,0,38
2020-04-09,Uttar Pradesh,5,1,67
2020-04-10,Uttar Pradesh,1,0,21
2020-04-11,Uttar Pradesh,0,0,2
2020-04-12,Uttar Pradesh,13,1,19
2020-04-13,Uttar Pradesh,2,0,31
2020-04-14,Uttar Pradesh,2,0,174
2020-04-15,Uttar Pradesh,2,6,78
2020-04-16,Uttar Pradesh,17,2,38
2020-04-17,Uttar Pradesh,6,1,73
2020-04-18,Uttar Pradesh,12,0,123
2020-04-19,Uttar Pradesh,22,3,115
2020-04-20,Uttar Pradesh,21,0,92
2020-04-21,Uttar Pradesh,11,3,118
2020-04-22,Uttar Pradesh,25,1,118
2020-04-23,Uttar Pradesh,22,0,97
2020-04-24,Uttar Pradesh,19,3,95
2020-04-25,Uttar Pradesh,42,2,174
2020-04-26,Uttar Pradesh,41,3,65
2020-04-27,Uttar Pradesh,46,2,112
2020-04-28,Uttar Pradesh,65,0,88
2020-04-29,Uttar Pradesh,77,5,72
2020-04-30,Uttar Pradesh,36,3,88
2020-05-01,Uttar Pradesh,42,2,78
2020-05-02,Uttar Pradesh,99,1,47
2020-05-03,Uttar Pradesh,44,1,298
2020-05-04,Uttar Pradesh,60,2,116
2020-05-05,Uttar Pradesh,186,8,117
2020-05-06,Uttar Pradesh,43,3,21
2020-05-07,Uttar Pradesh,143,4,118
2020-05-08,Uttar Pradesh,120,2,73
2020-05-09,Uttar Pradesh,137,4,143
2020-05-10,Uttar Pradesh,112,8,159
2020-05-11,Uttar Pradesh,154,0,94
2020-05-12,Uttar Pradesh,105,6,106
2020-05-13,Uttar Pradesh,115,2,91
2020-05-14,Uttar Pradesh,29,1,65
2020-05-15,Uttar Pradesh,170,5,173
2020-05-16,Uttar Pradesh,93,7,155
2020-05-17,Uttar Pradesh,276,9,201
2020-05-18,Uttar Pradesh,0,0,1
2020-05-19,Uttar Pradesh,342,14,346
2020-03-04,Haryana,0,0,2
2020-03-05,Haryana,0,0,0
2020-03-06,Haryana,0,0,0
2020-03-07,Haryana,0,0,0
2020-03-08,Haryana,0,0,0
2020-03-09,Haryana,0,0,0
2020-03-10,Haryana,0,0,0
2020-03-11,Haryana,0,0,12
2020-03-12,Haryana,0,0,0
2020-03-13,Haryana,0,0,0
2020-03-14,Haryana,0,0,0
2020-03-15,Haryana,0,0,0
2020-03-16,Haryana,0,0,0
2020-03-17,Haryana,0,0,1
2020-03-18,Haryana,0,0,2
2020-03-19,Haryana,0,0,0
2020-03-20,Haryana,0,0,0
2020-03-21,Haryana,0,0,0
2020-03-22,Haryana,0,0,4
2020-03-23,Haryana,0,0,5
2020-03-24,Haryana,11,0,2
2020-03-25,Haryana,0,0,0
2020-03-26,Haryana,0,0,2
2020-03-27,Haryana,0,0,0
2020-03-28,Haryana,1,0,3
2020-03-29,Haryana,5,0,0
2020-03-30,Haryana,1,0,3
2020-03-31,Haryana,3,0,4
2020-04-01,Haryana,0,0,3
2020-04-02,Haryana,0,0,0
2020-04-03,Haryana,3,0,6
2020-04-04,Haryana,0,0,0
2020-04-05,Haryana,1,1,10
2020-04-06,Haryana,0,0,25
2020-04-07,Haryana,0,0,6
2020-04-08,Haryana,3,2,57
2020-04-09,Haryana,1,0,22
2020-04-10,Haryana,0,0,0
2020-04-11,Haryana,0,0,8
2020-04-12,Haryana,0,0,8
2020-04-13,Haryana,0,0,0
2020-04-14,Haryana,5,0,14
2020-04-15,Haryana,0,0,0
2020-04-16,Haryana,9,0,6
2020-04-17,Haryana,0,0,0
2020-04-18,Haryana,0,0,20
2020-04-19,Haryana,44,0,8
2020-04-20,Haryana,0,0,0
2020-04-21,Haryana,40,0,21
2020-04-22,Haryana,0,0,0
2020-04-23,Haryana,13,0,8
2020-04-24,Haryana,16,0,10
2020-04-25,Haryana,0,0,0
2020-04-26,Haryana,20,0,17
2020-04-27,Haryana,0,0,0
2020-04-28,Haryana,7,0,7
2020-04-29,Haryana,26,0,14
2020-04-30,Haryana,0,0,0
2020-05-01,Haryana,0,0,3
2020-05-02,Haryana,18,1,47
2020-05-03,Haryana,0,0,34
2020-05-04,Haryana,18,1,48
2020-05-05,Haryana,9,1,75
2020-05-06,Haryana,2,0,31
2020-05-07,Haryana,4,1,46
2020-05-08,Haryana,0,0,31
2020-05-09,Haryana,19,1,22
2020-05-10,Haryana,11,1,28
2020-05-11,Haryana,10,1,28
2020-05-12,Haryana,37,1,27
2020-05-13,Haryana,5,0,50
2020-05-14,Haryana,76,0,13
2020-05-15,Haryana,21,0,25
2020-05-16,Haryana,0,0,0
2020-05-17,Haryana,75,2,69
2020-05-18,Haryana,48,1,23
2020-05-19,Haryana,36,0,18
2020-03-07,Ladakh,0,0,2
2020-03-08,Ladakh,0,0,0
2020-03-09,Ladakh,0,0,0
2020-03-10,Ladakh,0,0,0
2020-03-11,Ladakh,0,0,0
2020-03-12,Ladakh,0,0,1
2020-03-13,Ladakh,0,0,0
2020-03-14,Ladakh,0,0,0
2020-03-15,Ladakh,0,0,0
2020-03-16,Ladakh,0,0,1
2020-03-17,Ladakh,0,0,2
2020-03-18,Ladakh,0,0,2
2020-03-19,Ladakh,0,0,0
2020-03-20,Ladakh,0,0,2
2020-03-21,Ladakh,0,0,3
2020-03-22,Ladakh,0,0,0
2020-03-23,Ladakh,0,0,0
2020-03-24,Ladakh,0,0,0
2020-03-25,Ladakh,0,0,0
2020-03-26,Ladakh,0,0,0
2020-03-27,Ladakh,3,0,0
2020-03-28,Ladakh,0,0,0
2020-03-29,Ladakh,0,0,0
2020-03-30,Ladakh,0,0,0
2020-03-31,Ladakh,0,0,0
2020-04-01,Ladakh,0,0,0
2020-04-02,Ladakh,0,0,0
2020-04-03,Ladakh,0,0,1
2020-04-04,Ladakh,0,0,0
2020-04-05,Ladakh,7,0,0
2020-04-06,Ladakh,0,0,0
2020-04-07,Ladakh,0,0,0
2020-04-08,Ladakh,0,0,0
2020-04-09,Ladakh,0,0,0
2020-04-10,Ladakh,0,0,1
2020-04-11,Ladakh,0,0,0
2020-04-12,Ladakh,0,0,0
2020-04-13,Ladakh,0,0,0
2020-04-14,Ladakh,0,0,0
2020-04-15,Ladakh,0,0,2
2020-04-16,Ladakh,0,0,0
2020-04-17,Ladakh,4,0,1
2020-04-18,Ladakh,0,0,0
2020-04-19,Ladakh,0,0,0
2020-04-20,Ladakh,0,0,0
2020-04-21,Ladakh,0,0,0
2020-04-22,Ladakh,0,0,0
2020-04-23,Ladakh,0,0,0
2020-04-24,Ladakh,0,0,0
2020-04-25,Ladakh,0,0,2
2020-04-26,Ladakh,0,0,0
2020-04-27,Ladakh,0,0,0
2020-04-28,Ladakh,2,0,2
2020-04-29,Ladakh,0,0,0
2020-04-30,Ladakh,0,0,0
2020-05-01,Ladakh,0,0,0
2020-05-02,Ladakh,1,0,0
2020-05-03,Ladakh,0,0,18
